Team,Icon
West Virginia,"West Virginia<a href=""http://https://wvusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wvu1-993x1024-1-291x300.png"" alt=""West Virginia logo"" width=""291"" height=""300"" class=""alignnone size-medium wp-image-160"" /></a>"
Arizona St.,"Arizona State<a href=""http://https://thesundevils.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/asu1-1011x1024-1-296x300.png"" alt=""Arizona State logo"" width=""296"" height=""300"" class=""alignnone size-medium wp-image-87"" /></a>"
Texas Tech,"Texas Tech<a href=""http://https://texastech.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tt3-885x1024-1-259x300.png"" alt=""Texas Tech logo"" width=""259"" height=""300"" class=""alignnone size-medium wp-image-147"" /></a>"
Virginia,"Virginia<a href=""http://https://virginiasports.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/virginia-300x238.png"" alt="""" width=""300"" height=""238"" class=""alignnone size-medium wp-image-2406"" /></a>"
Missouri,"Missouri<a href=""http://https://mutigers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/missouri1-1024x585-1-300x171.png"" alt=""Missouri logo"" width=""300"" height=""171"" class=""alignnone size-medium wp-image-184"" /></a>"
SMU,"SMU<a href=""http://https://smumustangs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/smu-300x155.png"" alt="""" width=""300"" height=""155"" class=""alignnone size-medium wp-image-2195"" /></a>"
Maryland,"Maryland<a href=""http://https://umterps.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/maryland6-934x1024-1-274x300.png"" alt=""Maryland logo"" width=""274"" height=""300"" class=""alignnone size-medium wp-image-115"" /></a>"
Washington St.,"Washington State<a href=""http://https://wsucougars.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wsu2-1024x976-1-300x286.png"" alt=""Washington State logo"" width=""300"" height=""286"" class=""alignnone size-medium wp-image-205"" /></a>"
Stanford,"Stanford<a href=""http://https://gostanford.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/stanford2-670x1024-1-196x300.png"" alt=""Stanford logo"" width=""196"" height=""300"" class=""alignnone size-medium wp-image-193"" /></a>"
Colorado,"Colorado<a href=""http://https://cubuffs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/colorado1-1024x755-1-300x221.png"" alt=""Colorado logo"" width=""300"" height=""221"" class=""alignnone size-medium wp-image-173"" /></a>"
San Diego St.,"San Diego State<a href=""http://https://goaztecs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/sds3-1024x712-1-300x209.png"" alt=""San Diego State logo"" width=""300"" height=""209"" class=""alignnone size-medium wp-image-138"" /></a>"
California,"California<a href=""http://https://calbears.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/cal1-1024x821-1-300x241.png"" alt=""California logo"" width=""300"" height=""241"" class=""alignnone size-medium wp-image-171"" /></a>"
UAB,"UAB<a href=""http://https://uabsports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/uab1-300x255.png"" alt="""" width=""300"" height=""255"" class=""alignnone size-medium wp-image-2117"" /></a>"
Virginia Tech,"Virginia Tech<a href=""http://https://hokiesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/vt-300x143.png"" alt="""" width=""300"" height=""143"" class=""alignnone size-medium wp-image-2411"" /></a>"
Toledo,"Toledo<a href=""http://https://utrockets.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/toledo1-1024x602-1-300x176.png"" alt=""Toledo logo"" width=""300"" height=""176"" class=""alignnone size-medium wp-image-146"" /></a>"
Memphis,"Memphis<a href=""http://https://gotigersgo.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/memphis1-1024x892-1-300x261.png"" alt=""Memphis logo"" width=""300"" height=""261"" class=""alignnone size-medium wp-image-116"" /></a>"
Coastal Carolina,"Coastal Carolina<a href=""http://https://goccusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/cc3-915x1024-1-268x300.png"" alt=""Coastal Carolina logo"" width=""268"" height=""300"" class=""alignnone size-medium wp-image-172"" /></a>"
Syracuse,"Syracuse<a href=""http://https://cuse.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/syracuse4-758x1024-1-222x300.png"" alt=""Syracuse logo"" width=""222"" height=""300"" class=""alignnone size-medium wp-image-142"" /></a>"
Indiana,"Indiana<a href=""http://https://iuhoosiers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/indiana3-811x1024-1-238x300.png"" alt=""Indiana logo"" width=""238"" height=""300"" class=""alignnone size-medium wp-image-109"" /></a>"
Louisiana,"Louisiana<a href=""http://https://ragincajuns.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/louisiana3-1024x522-1-300x153.png"" alt=""Louisiana logo"" width=""300"" height=""153"" class=""alignnone size-medium wp-image-181"" /></a>"
Army West Point,"Army<a href=""http://https://goarmywestpoint.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/army6-258x300.png"" alt="""" width=""258"" height=""300"" class=""alignnone size-medium wp-image-2128"" /></a>"
Utah St.,"Utah State<a href=""http://https://utahstateaggies.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/utahstate2-1024x776-1-300x227.png"" alt=""Utah State logo"" width=""300"" height=""227"" class=""alignnone size-medium wp-image-155"" /></a>"
UTSA,"UTSA<a href=""http://https://goutsa.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/utsa4-1024x368-1-300x108.png"" alt=""Texas San Antonio logo"" width=""300"" height=""108"" class=""alignnone size-medium wp-image-156"" /></a>"
